# library,nid,name
IoFileMgrForUser,0x109F50BC,sceIoOpen
IoFileMgrForUser,0x810C4BC3,sceIoClose
IoFileMgrForUser,0x6A638D83,sceIoRead
IoFileMgrForUser,0x42EC03AC,sceIoWrite
IoFileMgrForUser,0x27EB27B8,sceIoLseek
IoFileMgrForUser,0x68963324,sceIoLseek32
IoFileMgrForUser,0xACE946E8,sceIoGetstat
IoFileMgrForUser,0x54F5FB11,sceIoDevctl
SysMemUserForUser,0x7591C7DB,sceKernelSetCompiledSdkVersion
SysMemUserForUser,0xF77D77CB,sceKernelSetCompilerVersion
SysMemUserForUser,0x237DBD4F,sceKernelAllocPartitionMemory
SysMemUserForUser,0xB6D61D02,sceKernelFreePartitionMemory
SysMemUserForUser,0x9D9A5BA1,sceKernelGetBlockHeadAddr
SysMemUserForUser,0x13A5ABEF,sceKernelPrintf
ThreadManForUser,0x446D8DE6,sceKernelCreateThread
ThreadManForUser,0xF475845D,sceKernelStartThread
ThreadManForUser,0x809CE29B,sceKernelExitDeleteThread
ThreadManForUser,0x293B45B8,sceKernelGetThreadId
ThreadManForUser,0xCEADEB47,sceKernelDelayThread
IoFileMgrForUser,0xB293727F,sceIoChangeAsyncPriority
IoFileMgrForUser,0xB29DDF9C,sceIoDopen
IoFileMgrForUser,0xE3EB004C,sceIoDread
IoFileMgrForUser,0xEB092469,sceIoDclose
ThreadManForUser,0x278C0DF5,sceKernelWaitThreadEnd
ThreadManForUser,0x68DA9E36,sceKernelDelayThreadCB
ThreadManForUser,0xE81CAF8F,sceKernelCreateCallback
ThreadManForUser,0xEDBA5844,sceKernelDeleteCallback
ThreadManForUser,0xD6DA4BA1,sceKernelCreateSema
ThreadManForUser,0x28B6489C,sceKernelDeleteSema
ThreadManForUser,0x3F53E640,sceKernelSignalSema
ThreadManForUser,0x4E3A1105,sceKernelWaitSema
ThreadManForUser,0xEA748E31,sceKernelChangeCurrentThreadAttr
sceUmdUser,0x46EBB729,sceUmdCheckMedium
sceUmdUser,0x6B4A146C,sceUmdGetDriveStat
sceUmdUser,0x8EF08FCE,sceUmdWaitDriveStat
sceUmdUser,0xAEE7404D,sceUmdRegisterUMDCallBack
sceUmdUser,0xBD2BDE07,sceUmdUnRegisterUMDCallBack
sceUmdUser,0xC6183D47,sceUmdActivate
LoadExecForUser,0x4AC57943,sceKernelRegisterExitCallback
SysMemUserForUser,0xA291F107,sceKernelMaxFreeMemSize
ThreadManForUser,0xC07BB470,sceKernelCreateFpl
ThreadManForUser,0xD979E9BF,sceKernelAllocateFpl

# Names below were resolved by recomputing the documented PSP NID rule:
#   NID = first 4 bytes of SHA-1(function name), little-endian.
# Each entry was accepted only when that computation reproduced the NID
# observed in a real PSP module's import table, so none of them are guesses.
# The same computation reproduces all 42 pre-existing entries above.

InterruptManager,0xFB8E22EC,sceKernelEnableSubIntr
InterruptManager,0xCA04A2B9,sceKernelRegisterSubIntrHandler
InterruptManager,0xD61E6961,sceKernelReleaseSubIntrHandler

IoFileMgrForUser,0xFF5940B6,sceIoCloseAsync
IoFileMgrForUser,0xE95A012B,sceIoIoctlAsync
IoFileMgrForUser,0x71B19E77,sceIoLseekAsync
IoFileMgrForUser,0x06A70004,sceIoMkdir
IoFileMgrForUser,0x89AA9906,sceIoOpenAsync
IoFileMgrForUser,0x3251EA56,sceIoPollAsync
IoFileMgrForUser,0xA0B5A7C2,sceIoReadAsync
IoFileMgrForUser,0x779103A0,sceIoRename
IoFileMgrForUser,0xE23EEC33,sceIoWaitAsync
IoFileMgrForUser,0x35DBD746,sceIoWaitAsyncCB

Kernel_Library,0x5F10D406,sceKernelCpuResumeIntr
Kernel_Library,0x092968F4,sceKernelCpuSuspendIntr

LoadExecForUser,0x05572A5F,sceKernelExitGame

ModuleMgrForUser,0xF0A26395,sceKernelGetModuleId
ModuleMgrForUser,0xD8B73127,sceKernelGetModuleIdByAddress
ModuleMgrForUser,0x977DE386,sceKernelLoadModule
ModuleMgrForUser,0xB7F46618,sceKernelLoadModuleByID
ModuleMgrForUser,0xD675EBB8,sceKernelSelfStopUnloadModule
ModuleMgrForUser,0x50F0C1EC,sceKernelStartModule
ModuleMgrForUser,0xD1FF982A,sceKernelStopModule
ModuleMgrForUser,0x2E0911AA,sceKernelUnloadModule

StdioForUser,0xF78BA90A,sceKernelStderr
StdioForUser,0x172D316E,sceKernelStdin
StdioForUser,0xA6BAB2E9,sceKernelStdout

ThreadManForUser,0x7E65B999,sceKernelCancelAlarm
ThreadManForUser,0x71BC9871,sceKernelChangeThreadPriority
ThreadManForUser,0x349D6D6C,sceKernelCheckCallback
ThreadManForUser,0x812346E4,sceKernelClearEventFlag
ThreadManForUser,0x55C20A00,sceKernelCreateEventFlag
ThreadManForUser,0x8125221D,sceKernelCreateMbx
ThreadManForUser,0xEF9E4C70,sceKernelDeleteEventFlag
ThreadManForUser,0x86255ADA,sceKernelDeleteMbx
ThreadManForUser,0x9FA03CD3,sceKernelDeleteThread
ThreadManForUser,0xAA73C935,sceKernelExitThread
ThreadManForUser,0xDB738F35,sceKernelGetSystemTime
ThreadManForUser,0x369ED59D,sceKernelGetSystemTimeLow
ThreadManForUser,0x94AA61EE,sceKernelGetThreadCurrentPriority
ThreadManForUser,0x0D81716A,sceKernelPollMbx
ThreadManForUser,0x58B1F937,sceKernelPollSema
ThreadManForUser,0x18260574,sceKernelReceiveMbx
ThreadManForUser,0xF3986382,sceKernelReceiveMbxCB
ThreadManForUser,0xFFC36A14,sceKernelReferThreadRunStatus
ThreadManForUser,0x17C1684E,sceKernelReferThreadStatus
ThreadManForUser,0x912354A7,sceKernelRotateThreadReadyQueue
ThreadManForUser,0xE9B3061E,sceKernelSendMbx
ThreadManForUser,0x6652B8CA,sceKernelSetAlarm
ThreadManForUser,0x1FB15A32,sceKernelSetEventFlag
ThreadManForUser,0x9ACE131E,sceKernelSleepThread
ThreadManForUser,0x383F7BCC,sceKernelTerminateDeleteThread
ThreadManForUser,0x616403BA,sceKernelTerminateThread
ThreadManForUser,0x402FCF22,sceKernelWaitEventFlag
ThreadManForUser,0x6D212BAC,sceKernelWaitSemaCB
ThreadManForUser,0x840E8133,sceKernelWaitThreadEndCB
ThreadManForUser,0xD59EAD2F,sceKernelWakeupThread

UtilsForUser,0xBFA98062,sceKernelDcacheInvalidateRange
